 lambda   Irr_dw       Irr_up       Rad_dw       Rad_up       Act_dw       Act_up       Irr_dw_dir   Irr_up_diff  Act_dw_dir   Act_up_diff
 894.195  7.94147e-01  1.36528e-01  1.49911e-03  2.96955e-02  7.41197e-02  2.64819e-02  7.88344e-01  5.80374e-03  7.24396e-02  1.68007e-03
 900.842  7.61171e-01  1.20182e-01  1.39957e-03  2.55517e-02  7.09324e-02  2.34399e-02  7.56123e-01  5.04759e-03  6.94789e-02  1.45355e-03
 907.472  7.64935e-01  1.22491e-01  1.37935e-03  2.61795e-02  7.12898e-02  2.38616e-02  7.59110e-01  5.82533e-03  6.97534e-02  1.53646e-03
 914.084  7.61369e-01  1.19509e-01  1.34704e-03  2.54009e-02  7.09148e-02  2.33124e-02  7.56045e-01  5.32331e-03  6.94717e-02  1.44300e-03
 920.678  7.36415e-01  1.22812e-01  1.28357e-03  2.65303e-02  6.86222e-02  2.38566e-02  7.31509e-01  4.90645e-03  6.72172e-02  1.40504e-03
 927.255  7.28972e-01  1.16008e-01  1.24198e-03  2.47502e-02  6.78740e-02  2.26110e-02  7.24283e-01  4.68907e-03  6.65532e-02  1.32077e-03
 933.815  7.13911e-01  9.39347e-02  1.17901e-03  1.90433e-02  6.63286e-02  1.84775e-02  7.09573e-01  4.33735e-03  6.52015e-02  1.12704e-03
 940.358  6.99604e-01  1.00673e-01  1.13899e-03  2.08063e-02  6.50485e-02  1.98056e-02  6.95343e-01  4.26068e-03  6.38939e-02  1.15459e-03
 946.883  6.96900e-01  9.66681e-02  1.11033e-03  1.98042e-02  6.47555e-02  1.90214e-02  6.92789e-01  4.11137e-03  6.36592e-02  1.09632e-03
 953.391  6.81737e-01  9.72660e-02  1.06703e-03  2.00792e-02  6.33509e-02  1.91211e-02  6.77771e-01  3.96522e-03  6.22792e-02  1.07170e-03
 959.883  6.82802e-01  1.01293e-01  1.05042e-03  2.11661e-02  6.34580e-02  1.98666e-02  6.78881e-01  3.92096e-03  6.23812e-02  1.07681e-03
 966.357  6.70604e-01  1.04232e-01  1.01443e-03  2.20608e-02  6.23395e-02  2.03784e-02  6.66780e-01  3.82352e-03  6.12693e-02  1.07017e-03
 972.814  6.68311e-01  1.08328e-01  9.93701e-04  2.31574e-02  6.21401e-02  2.11306e-02  6.64536e-01  3.77467e-03  6.10631e-02  1.07698e-03
 979.255  6.58613e-01  1.08138e-01  9.61176e-04  2.31701e-02  6.12348e-02  2.10887e-02  6.54942e-01  3.67136e-03  6.01814e-02  1.05335e-03
 985.679  6.53903e-01  1.11778e-01  9.38187e-04  2.41977e-02  6.08140e-02  2.17625e-02  6.50324e-01  3.57864e-03  5.97571e-02  1.05687e-03
 992.086  6.47329e-01  1.12145e-01  9.12010e-04  2.43555e-02  6.01995e-02  2.18210e-02  6.43839e-01  3.49000e-03  5.91612e-02  1.03825e-03
 998.476  6.41204e-01  1.10643e-01  8.84172e-04  2.40052e-02  5.96170e-02  2.15502e-02  6.37821e-01  3.38303e-03  5.86082e-02  1.00872e-03
1004.850  6.12557e-01  1.04861e-01  8.27865e-04  2.27067e-02  5.69388e-02  2.04416e-02  6.09346e-01  3.21118e-03  5.59918e-02  9.47050e-04
1011.208  6.24505e-01  1.06636e-01  8.26241e-04  2.30719e-02  5.80329e-02  2.07919e-02  6.21353e-01  3.15121e-03  5.70951e-02  9.37802e-04
1017.548  6.11798e-01  1.05556e-01  7.93176e-04  2.29303e-02  5.68442e-02  2.05466e-02  6.08774e-01  3.02356e-03  5.59392e-02  9.04991e-04
1023.873  6.07827e-01  1.03727e-01  7.70989e-04  2.24178e-02  5.64590e-02  2.02308e-02  6.04887e-01  2.93996e-03  5.55820e-02  8.77049e-04
1030.181  5.99827e-01  1.03369e-01  7.45019e-04  2.23972e-02  5.57079e-02  2.01347e-02  5.96974e-01  2.85243e-03  5.48549e-02  8.52919e-04
1036.473  5.88123e-01  1.01655e-01  7.15766e-04  2.20079e-02  5.46095e-02  1.97957e-02  5.85396e-01  2.72762e-03  5.37909e-02  8.18574e-04
1042.749  5.83009e-01  1.00299e-01  6.94266e-04  2.16587e-02  5.41222e-02  1.95502e-02  5.80347e-01  2.66104e-03  5.33271e-02  7.95040e-04
1049.009  5.76561e-01  9.94643e-02  6.72763e-04  2.15577e-02  5.35086e-02  1.93549e-02  5.74000e-01  2.56130e-03  5.27439e-02  7.64796e-04
1055.253  5.69466e-01  9.76266e-02  6.48749e-04  2.11340e-02  5.28354e-02  1.90041e-02  5.66993e-01  2.47323e-03  5.21000e-02  7.35483e-04
1061.481  5.55807e-01  9.48043e-02  6.21284e-04  2.05264e-02  5.15526e-02  1.84485e-02  5.53444e-01  2.36239e-03  5.08551e-02  6.97586e-04
1067.693  5.45104e-01  9.16821e-02  6.00750e-04  1.97485e-02  5.05469e-02  1.78752e-02  5.42834e-01  2.27076e-03  4.98800e-02  6.66911e-04
1073.889  5.38970e-01  9.03980e-02  5.86528e-04  1.94880e-02  4.99746e-02  1.76244e-02  5.36749e-01  2.22046e-03  4.93209e-02  6.53639e-04
1080.069  5.30139e-01  8.82877e-02  5.69455e-04  1.90202e-02  4.91481e-02  1.72121e-02  5.27986e-01  2.15274e-03  4.85157e-02  6.32428e-04
1086.234  5.23419e-01  8.58337e-02  5.55792e-04  1.83448e-02  4.85149e-02  1.67651e-02  5.21326e-01  2.09248e-03  4.79037e-02  6.11151e-04
