 lambda   Irr_dw       Irr_up       Rad_dw       Rad_up       Act_dw       Act_up       Irr_dw_dir   Irr_up_diff  Act_dw_dir   Act_up_diff
 405.248  1.40797e+00  4.21366e-01  2.81904e-02  1.03400e-01  1.48645e-01  7.65089e-02  1.27819e+00  1.29782e-01  1.17455e-01  3.11904e-02
 406.081  1.39244e+00  4.15584e-01  2.76582e-02  1.01938e-01  1.46892e-01  7.54823e-02  1.26511e+00  1.27332e-01  1.16253e-01  3.06397e-02
 406.913  1.39832e+00  4.16150e-01  2.75528e-02  1.02028e-01  1.47398e-01  7.56107e-02  1.27148e+00  1.26841e-01  1.16838e-01  3.05597e-02
 407.746  1.42325e+00  4.22372e-01  2.78256e-02  1.03503e-01  1.49913e-01  7.67673e-02  1.29517e+00  1.28086e-01  1.19015e-01  3.08976e-02
 408.578  1.44967e+00  4.29029e-01  2.81294e-02  1.05082e-01  1.52584e-01  7.80033e-02  1.32019e+00  1.29475e-01  1.21314e-01  3.12697e-02
 409.411  1.46629e+00  4.32776e-01  2.82390e-02  1.05946e-01  1.54223e-01  7.87104e-02  1.33631e+00  1.29977e-01  1.22795e-01  3.14276e-02
 410.243  1.48232e+00  4.36352e-01  2.83295e-02  1.06768e-01  1.55797e-01  7.93855e-02  1.35192e+00  1.30402e-01  1.24230e-01  3.15666e-02
 411.075  1.50572e+00  4.42123e-01  2.85584e-02  1.08130e-01  1.58142e-01  8.04584e-02  1.37425e+00  1.31466e-01  1.26282e-01  3.18601e-02
 411.907  1.52471e+00  4.46645e-01  2.87067e-02  1.09188e-01  1.60026e-01  8.13023e-02  1.39255e+00  1.32156e-01  1.27964e-01  3.20621e-02
 412.739  1.52829e+00  4.46692e-01  2.85652e-02  1.09158e-01  1.60292e-01  8.13297e-02  1.39678e+00  1.31502e-01  1.28353e-01  3.19390e-02
 413.571  1.52466e+00  4.44668e-01  2.82867e-02  1.08627e-01  1.59801e-01  8.09782e-02  1.39445e+00  1.30208e-01  1.28139e-01  3.16621e-02
 414.403  1.52585e+00  4.44061e-01  2.80981e-02  1.08442e-01  1.59815e-01  8.08841e-02  1.39653e+00  1.29325e-01  1.28329e-01  3.14856e-02
 415.235  1.52928e+00  4.44086e-01  2.79552e-02  1.08408e-01  1.60066e-01  8.09068e-02  1.40063e+00  1.28655e-01  1.28706e-01  3.13598e-02
 416.067  1.52430e+00  4.41631e-01  2.76636e-02  1.07760e-01  1.59439e-01  8.04798e-02  1.39701e+00  1.27294e-01  1.28373e-01  3.10653e-02
 416.899  1.50740e+00  4.35681e-01  2.71598e-02  1.06254e-01  1.57566e-01  7.94179e-02  1.38248e+00  1.24919e-01  1.27038e-01  3.05276e-02
