 lambda     Rad_up_noisy   Rad_up_pure    Rad_up_noise
 405.248    7.69211e-02    7.68610e-02    6.00914e-05
 406.081    7.54171e-02    7.56800e-02   -2.62873e-04
 406.913    7.56462e-02    7.56440e-02    2.23370e-06
 407.746    7.65417e-02    7.66308e-02   -8.90516e-05
 408.578    7.78449e-02    7.76941e-02    1.50813e-04
 409.411    7.85037e-02    7.82294e-02    2.74267e-04
 410.243    7.89072e-02    7.87378e-02    1.69363e-04
 411.075    7.93054e-02    7.96513e-02   -3.45932e-04
 411.907    8.00141e-02    8.03490e-02   -3.34876e-04
 412.739    8.03281e-02    8.02531e-02    7.49776e-05
 413.571    7.99436e-02    7.97970e-02    1.46645e-04
 414.403    7.94626e-02    7.95980e-02   -1.35422e-04
 415.235    7.97482e-02    7.95033e-02    2.44909e-04
 416.067    7.92219e-02    7.89497e-02    2.72238e-04
 416.899    7.76348e-02    7.77583e-02   -1.23493e-04
 417.730    7.62408e-02    7.61746e-02    6.61805e-05
 418.562    7.45291e-02    7.45451e-02   -1.59956e-05
 419.393    7.34519e-02    7.33790e-02    7.29074e-05
 420.225    7.30303e-02    7.31067e-02   -7.64069e-05
 421.056    7.30681e-02    7.31708e-02   -1.02708e-04
 421.888    7.24535e-02    7.24065e-02    4.69582e-05
 422.719    7.09011e-02    7.08165e-02    8.45703e-05
 423.550    6.92171e-02    6.95660e-02   -3.48862e-04
 424.382    6.91014e-02    6.91172e-02   -1.58239e-05
 425.213    6.88250e-02    6.87380e-02    8.70313e-05
 426.044    6.76815e-02    6.77208e-02   -3.93220e-05
 426.875    6.60543e-02    6.59443e-02    1.09998e-04
 427.706    6.32579e-02    6.33155e-02   -5.75520e-05
 428.537    5.93783e-02    5.96892e-02   -3.10928e-04
 429.368    5.58449e-02    5.58935e-02   -4.85594e-05
 430.199    5.38777e-02    5.41412e-02   -2.63537e-04
 431.030    5.61958e-02    5.60943e-02    1.01508e-04
 431.860    6.03652e-02    6.04437e-02   -7.85268e-05
 432.691    6.40454e-02    6.41339e-02   -8.84731e-05
 433.522    6.62977e-02    6.60052e-02    2.92482e-04
 434.352    6.72910e-02    6.73321e-02   -4.10705e-05
 435.183    6.90425e-02    6.91070e-02   -6.45329e-05
 436.013    7.08239e-02    7.06465e-02    1.77393e-04
 436.844    7.08376e-02    7.08260e-02    1.16326e-05
 437.674    6.97067e-02    6.97037e-02    3.03180e-06
 438.504    6.82986e-02    6.85772e-02   -2.78625e-04
 439.335    6.85016e-02    6.85883e-02   -8.67482e-05
 440.165    6.94401e-02    6.96971e-02   -2.56966e-04
 440.995    7.09789e-02    7.11436e-02   -1.64664e-04
 441.825    7.25882e-02    7.23394e-02    2.48756e-04
 442.655    7.30110e-02    7.30796e-02   -6.86334e-05
 443.486    7.33554e-02    7.33618e-02   -6.42590e-06
 444.316    7.29583e-02    7.32596e-02   -3.01258e-04
 445.146    7.29988e-02    7.30116e-02   -1.27530e-05
 445.976    7.29947e-02    7.31624e-02   -1.67719e-04
 446.805    7.40596e-02    7.41020e-02   -4.24030e-05
 447.635    7.55925e-02    7.55320e-02    6.04599e-05
 448.465    7.69620e-02    7.69289e-02    3.31269e-05
 449.295    7.81195e-02    7.81428e-02   -2.33064e-05
 450.125    7.84991e-02    7.90347e-02   -5.35588e-04
 450.954    7.89210e-02    7.90853e-02   -1.64273e-04
 451.784    7.76483e-02    7.80137e-02   -3.65448e-04
 452.613    7.63685e-02    7.65005e-02   -1.32036e-04
 453.443    7.59686e-02    7.56098e-02    3.58846e-04
 454.273    7.56016e-02    7.56773e-02   -7.56928e-05
 455.102    7.65896e-02    7.62310e-02    3.58627e-04
 455.931    7.68282e-02    7.66887e-02    1.39528e-04
 456.761    7.64817e-02    7.67524e-02   -2.70742e-04
 457.590    7.63576e-02    7.64262e-02   -6.86409e-05
 458.420    7.56660e-02    7.59391e-02   -2.73061e-04
 459.249    7.59048e-02    7.55729e-02    3.31880e-04
 460.078    7.51730e-02    7.54509e-02   -2.77868e-04
 460.907    7.57553e-02    7.54413e-02    3.14028e-04
 461.737    7.54063e-02    7.53142e-02    9.21156e-05
 462.566    7.51194e-02    7.49939e-02    1.25470e-04
 463.395    7.45416e-02    7.45809e-02   -3.93207e-05
 464.224    7.45665e-02    7.42051e-02    3.61367e-04
 465.053    7.39393e-02    7.39467e-02   -7.44453e-06
 465.882    7.37374e-02    7.38343e-02   -9.69057e-05
 466.711    7.41212e-02    7.38873e-02    2.33930e-04
 467.540    7.38358e-02    7.40660e-02   -2.30235e-04
 468.369    7.40185e-02    7.41569e-02   -1.38382e-04
 469.198    7.42181e-02    7.39483e-02    2.69769e-04
 470.027    7.31427e-02    7.35049e-02   -3.62159e-04
 470.855    7.23902e-02    7.30554e-02   -6.65218e-04
 471.684    7.31698e-02    7.27187e-02    4.51130e-04
 472.513    7.20318e-02    7.25052e-02   -4.73423e-04
 473.342    7.21902e-02    7.24409e-02   -2.50701e-04
 474.170    7.27028e-02    7.24828e-02    2.19970e-04
 474.999    7.18280e-02    7.24268e-02   -5.98812e-04
 475.828    7.25829e-02    7.21529e-02    4.30036e-04
 476.656    7.15876e-02    7.18197e-02   -2.32142e-04
 477.485    7.21135e-02    7.15779e-02    5.35643e-04
 478.313    7.17050e-02    7.13447e-02    3.60271e-04
 479.142    7.07326e-02    7.10572e-02   -3.24640e-04
 479.970    7.13202e-02    7.08281e-02    4.92093e-04
