 lambda     Rad_up_noisy   Rad_up_pure    Rad_up_noise
 894.195    1.92136e-02    1.90994e-02    1.14233e-04
 900.842    1.54005e-02    1.53837e-02    1.67510e-05
 907.472    1.60266e-02    1.59847e-02    4.19475e-05
 914.084    1.52596e-02    1.52625e-02   -2.87449e-06
 920.678    1.64510e-02    1.67503e-02   -2.99262e-04
 927.255    1.55333e-02    1.50655e-02    4.67757e-04
 933.815    9.76822e-03    9.67276e-03    9.54633e-05
 940.358    1.14282e-02    1.14608e-02   -3.25708e-05
 946.883    1.04366e-02    1.05378e-02   -1.01188e-04
 953.391    1.10548e-02    1.09919e-02    6.28725e-05
 959.883    1.21733e-02    1.20616e-02    1.11717e-04
 966.357    1.31273e-02    1.31385e-02   -1.11642e-05
 972.814    1.42293e-02    1.42728e-02   -4.35187e-05
 979.255    1.44510e-02    1.44165e-02    3.44565e-05
 985.679    1.56236e-02    1.55103e-02    1.13269e-04
 992.086    1.57309e-02    1.57817e-02   -5.08181e-05
 998.476    1.57223e-02    1.55991e-02    1.23205e-04
1004.850    1.45729e-02    1.46871e-02   -1.14169e-04
1011.208    1.46901e-02    1.48756e-02   -1.85453e-04
1017.548    1.49902e-02    1.48939e-02    9.62803e-05
1023.873    1.43921e-02    1.43971e-02   -5.00147e-06
1030.181    1.43025e-02    1.44883e-02   -1.85765e-04
1036.473    1.38985e-02    1.42270e-02   -3.28496e-04
1042.749    1.40104e-02    1.39123e-02    9.80573e-05
1049.009    1.35674e-02    1.39225e-02   -3.55091e-04
1055.253    1.35748e-02    1.35831e-02   -8.30080e-06
1061.481    1.32517e-02    1.31624e-02    8.93098e-05
1067.693    1.23959e-02    1.25018e-02   -1.05854e-04
1073.889    1.22189e-02    1.23237e-02   -1.04759e-04
1080.069    1.19390e-02    1.19666e-02   -2.75982e-05
1086.234    1.13375e-02    1.13614e-02   -2.39028e-05
1092.383    1.07014e-02    1.09266e-02   -2.25154e-04
1098.516    9.68296e-03    9.61257e-03    7.03941e-05
1104.634    8.94217e-03    9.06836e-03   -1.26188e-04
1110.737    8.41517e-03    8.63144e-03   -2.16269e-04
1116.824    6.55021e-03    6.51896e-03    3.12469e-05
1122.896    5.52426e-03    5.50328e-03    2.09839e-05
1128.953    5.53266e-03    5.71646e-03   -1.83801e-04
1134.995    5.42232e-03    5.48621e-03   -6.38949e-05
1141.021    6.31017e-03    6.26743e-03    4.27440e-05
1147.033    5.94143e-03    5.88362e-03    5.78086e-05
1153.030    6.39705e-03    6.38139e-03    1.56574e-05
1159.012    8.06948e-03    7.84835e-03    2.21130e-04
1164.979    8.90040e-03    9.04493e-03   -1.44532e-04
1170.931    9.50156e-03    9.29833e-03    2.03228e-04
1176.869    9.37356e-03    9.23057e-03    1.42985e-04
1182.792    8.73298e-03    8.73395e-03   -9.72339e-07
1188.701    8.77738e-03    8.65065e-03    1.26725e-04
1194.595    8.97624e-03    8.89004e-03    8.61991e-05
1200.475    8.50018e-03    8.53767e-03   -3.74935e-05
1206.341    8.72781e-03    8.83527e-03   -1.07460e-04
1212.193    8.64902e-03    8.70605e-03   -5.70256e-05
1218.030    8.77134e-03    9.08913e-03   -3.17793e-04
1223.854    9.12231e-03    9.12309e-03   -7.80453e-07
1229.663    9.33243e-03    9.34890e-03   -1.64712e-05
1235.458    9.76608e-03    9.43517e-03    3.30909e-04
1241.240    9.31048e-03    9.43597e-03   -1.25487e-04
1247.008    9.46643e-03    9.35312e-03    1.13306e-04
1252.762    9.43871e-03    8.96862e-03    4.70085e-04
1258.503    8.34464e-03    8.39134e-03   -4.66970e-05
1264.230    7.47003e-03    7.71402e-03   -2.43994e-04
1269.944    7.75400e-03    7.66730e-03    8.67002e-05
1275.644    7.80361e-03    7.99603e-03   -1.92423e-04
1281.331    7.72954e-03    7.68477e-03    4.47749e-05
1287.004    7.94022e-03    8.11436e-03   -1.74138e-04
1292.665    7.83974e-03    7.80304e-03    3.67019e-05
1298.312    7.52734e-03    7.35530e-03    1.72039e-04
1303.947    6.65688e-03    6.89517e-03   -2.38286e-04
1309.568    6.44062e-03    6.49650e-03   -5.58768e-05
1315.177    5.77844e-03    5.93413e-03   -1.55686e-04
1320.772    5.37721e-03    5.44819e-03   -7.09846e-05
