# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         10.000
 8.8571      0.026         11.079
 8.7857      0.032         12.136
 8.7143      0.038         13.167
 8.6429      0.045         14.168
 8.5714      0.051         15.136
 8.5000      0.057         16.063
 8.4286      0.063         16.943
 8.3571      0.069         17.764
 8.2857      0.075         18.511
 8.2143      0.082         19.162
 8.1429      0.088         19.682
 8.0714      0.094         20.006
 8.0000      0.100         20.000
