 lambda   Irr_dw       Irr_up       Rad_dw       Rad_up       Act_dw       Act_up       Irr_dw_dir   Irr_up_diff  Act_dw_dir   Act_up_diff
 400.000  1.43897e+00  3.31180e-01  2.87549e-02  8.10409e-02  1.51066e-01  6.26242e-02  1.30846e+00  1.30511e-01  1.20237e-01  3.08292e-02
 401.000  1.42578e+00  3.27285e-01  2.82260e-02  8.01497e-02  1.49545e-01  6.18867e-02  1.29769e+00  1.28090e-01  1.19247e-01  3.02983e-02
 402.000  1.50631e+00  3.44517e-01  2.95394e-02  8.43918e-02  1.57856e-01  6.51626e-02  1.37226e+00  1.34051e-01  1.26100e-01  3.17561e-02
 403.000  1.40628e+00  3.18901e-01  2.72996e-02  7.79581e-02  1.47225e-01  6.04077e-02  1.28242e+00  1.23861e-01  1.17844e-01  2.93812e-02
 404.000  1.50649e+00  3.40301e-01  2.89738e-02  8.31978e-02  1.57579e-01  6.44828e-02  1.37507e+00  1.31417e-01  1.26358e-01  3.12217e-02
 405.000  1.37734e+00  3.10338e-01  2.62459e-02  7.59307e-02  1.43950e-01  5.88046e-02  1.25825e+00  1.19083e-01  1.15623e-01  2.83275e-02
 406.000  1.36265e+00  3.05020e-01  2.57187e-02  7.45462e-02  1.42286e-01  5.78552e-02  1.24601e+00  1.16640e-01  1.14498e-01  2.77887e-02
 407.000  1.32307e+00  2.94816e-01  2.47361e-02  7.20358e-02  1.38032e-01  5.59484e-02  1.21087e+00  1.12203e-01  1.11269e-01  2.67629e-02
 408.000  1.42893e+00  3.16769e-01  2.64717e-02  7.73623e-02  1.48943e-01  6.01539e-02  1.30891e+00  1.20012e-01  1.20278e-01  2.86652e-02
 409.000  1.57681e+00  3.47776e-01  2.89410e-02  8.48973e-02  1.64217e-01  6.60847e-02  1.44564e+00  1.31167e-01  1.32842e-01  3.13750e-02
 410.000  1.31427e+00  2.87999e-01  2.38934e-02  7.02235e-02  1.36757e-01  5.47816e-02  1.20599e+00  1.08280e-01  1.10820e-01  2.59371e-02
 411.000  1.53880e+00  3.36241e-01  2.77273e-02  8.20284e-02  1.59990e-01  6.39628e-02  1.41311e+00  1.25697e-01  1.29853e-01  3.01372e-02
