# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.106
 8.8571      0.026         11.381
 8.7857      0.032         14.613
 8.7143      0.038         17.797
 8.6429      0.045         20.922
 8.5714      0.051         23.977
 8.5000      0.057         26.947
 8.4286      0.063         29.807
 8.3571      0.069         32.525
 8.2857      0.075         35.045
 8.2143      0.082         37.272
 8.1429      0.088         39.006
 8.0714      0.094         39.683
 8.0000      0.100         33.625
