 lambda   Irr_dw            Rad_up 
 550.000  1.5549375000e+00  5.6473197940e-02 
 551.000  1.5446594000e+00  5.5941127780e-02 
 552.000  1.6105916400e+00  5.8284751890e-02 
 553.000  1.5469590000e+00  5.5798217770e-02 
 554.000  1.5969580000e+00  5.7533943180e-02 
 555.000  1.6009378800e+00  5.7457412720e-02 
 556.000  1.5563545400e+00  5.5647827150e-02 
 557.000  1.5098037200e+00  5.3928462980e-02 
 558.000  1.5667853800e+00  5.5754486080e-02 
 559.000  1.4806363000e+00  5.2554161070e-02 
 560.000  1.4868935400e+00  5.2714569090e-02 
 561.000  1.6339574400e+00  5.7697673800e-02 
 562.000  1.5000205200e+00  5.2874820710e-02 
 563.000  1.5692791700e+00  5.5104591370e-02 
 564.000  1.5472684500e+00  5.4058341980e-02 
 565.000  1.5660221900e+00  5.4628692630e-02 
 566.000  1.4439347100e+00  5.0174911500e-02 
 567.000  1.5501910900e+00  5.3538555150e-02 
 568.000  1.5507676900e+00  5.2932361600e-02 
 569.000  1.5293685200e+00  5.1005725860e-02 
 570.000  1.5359007000e+00  5.1214092250e-02 
 571.000  1.4749364400e+00  4.9758270260e-02 
 572.000  1.5657746200e+00  5.2066055300e-02 
 573.000  1.5806274900e+00  5.2651668550e-02 
 574.000  1.5715635300e+00  5.2255443570e-02 
 575.000  1.5337379800e+00  5.0808914180e-02 
 576.000  1.5061238800e+00  4.9767929080e-02 
 577.000  1.5667791700e+00  5.1786846160e-02 
 578.000  1.5183218700e+00  5.0452442170e-02 
 579.000  1.5045002700e+00  5.0002777100e-02 
 580.000  1.5543509500e+00  5.1865520480e-02 
 581.000  1.5232230400e+00  5.0964992520e-02 
 582.000  1.5441797400e+00  5.1549743650e-02 
 583.000  1.5540834500e+00  5.1924007420e-02 
 584.000  1.5484219600e+00  5.1543975830e-02 
 585.000  1.5378091500e+00  5.1035194400e-02 
 586.000  1.4714076000e+00  4.8778724670e-02 
 587.000  1.5320182700e+00  5.0224060060e-02 
 588.000  1.5301459200e+00  4.8780151370e-02 
 589.000  1.3756571300e+00  4.2218387600e-02 
 590.000  1.4375753400e+00  4.4002296450e-02 
 591.000  1.5128987900e+00  4.7291820530e-02 
 592.000  1.4915135000e+00  4.5857326510e-02 
 593.000  1.4907730000e+00  4.6974281310e-02 
 594.000  1.5080619100e+00  4.7175689700e-02 
 595.000  1.4907122800e+00  4.5647495270e-02 
 596.000  1.5109504000e+00  4.7494266510e-02 
 597.000  1.5190053000e+00  4.7262397770e-02 
 598.000  1.4810769100e+00  4.6583847050e-02 
 599.000  1.4785977500e+00  4.6663387300e-02 
 600.000  1.4727033700e+00  4.6947307590e-02 
 601.000  1.4602803000e+00  4.6904289250e-02 
 602.000  1.4428140500e+00  4.6347209930e-02 
 603.000  1.4500516800e+00  4.6696380620e-02 
 604.000  1.4947188200e+00  4.8282085420e-02 
 605.000  1.4902892400e+00  4.7992191310e-02 
 606.000  1.4727951500e+00  4.7467689510e-02 
 607.000  1.4643284300e+00  4.7090381620e-02 
 608.000  1.4588310400e+00  4.6779640200e-02 
 609.000  1.4437727300e+00  4.6260875700e-02 
 610.000  1.4205496100e+00  4.5390434270e-02 
 611.000  1.4435312000e+00  4.6069679260e-02 
 612.000  1.4246899200e+00  4.5423851010e-02 
 613.000  1.4038425900e+00  4.4645717620e-02 
 614.000  1.3526655600e+00  4.2996086120e-02 
 615.000  1.4179940200e+00  4.4916625980e-02 
 616.000  1.3482566300e+00  4.2696235660e-02 
 617.000  1.3559399700e+00  4.2886283870e-02 
 618.000  1.4200229200e+00  4.4729976650e-02 
 619.000  1.4071967800e+00  4.4340126040e-02 
 620.000  1.4282033900e+00  4.4815685270e-02 
 621.000  1.4530712900e+00  4.5545104980e-02 
 622.000  1.3767524600e+00  4.3042938230e-02 
 623.000  1.3879722900e+00  4.3175445560e-02 
 624.000  1.3899156700e+00  4.3269901280e-02 
 625.000  1.3526996000e+00  4.2066455840e-02 
 626.000  1.3606239600e+00  4.2062141420e-02 
 627.000  1.3890828000e+00  4.2383487700e-02 
 628.000  1.3956393500e+00  4.1042030330e-02 
 629.000  1.4165306800e+00  4.2252422330e-02 
 630.000  1.3656927300e+00  4.1120502470e-02 
 631.000  1.4114786700e+00  4.2610748290e-02 
 632.000  1.3169302600e+00  3.9507511140e-02 
 633.000  1.4070537400e+00  4.2599136350e-02 
 634.000  1.3624765400e+00  4.1409599300e-02 
 635.000  1.3869695700e+00  4.2168315890e-02 
 636.000  1.3367505300e+00  4.0714626310e-02 
 637.000  1.3800452700e+00  4.2085609440e-02 
 638.000  1.3987739100e+00  4.2808856960e-02 
 639.000  1.3869381100e+00  4.2282215120e-02 
 640.000  1.3419955500e+00  4.1157886510e-02 
 641.000  1.3612276600e+00  4.1687389370e-02 
 642.000  1.3438824500e+00  4.1176002500e-02 
 643.000  1.3690613800e+00  4.1746963500e-02 
 644.000  1.3532805800e+00  4.1126132970e-02 
 645.000  1.3675020600e+00  4.1379837040e-02 
 646.000  1.3252997900e+00  3.9091251370e-02 
 647.000  1.3505559500e+00  3.9152297970e-02 
 648.000  1.3561213800e+00  3.8795696260e-02 
 649.000  1.3761219600e+00  3.9684501650e-02 
 650.000  1.2628630100e+00  3.7362514500e-02 
 651.000  1.3604554300e+00  4.0211761470e-02 
 652.000  1.3458941500e+00  3.8856510160e-02 
 653.000  1.3595556100e+00  4.0241054530e-02 
 654.000  1.3433279100e+00  3.9472888950e-02 
 655.000  1.3127155300e+00  3.8152870180e-02 
 656.000  1.1131655200e+00  3.2404472350e-02 
 657.000  1.1858445600e+00  3.4679721830e-02 
 658.000  1.3164980700e+00  3.8916561130e-02 
 659.000  1.3171527000e+00  3.9072799680e-02 
 660.000  1.3264416700e+00  3.9432559970e-02 
 661.000  1.3290464700e+00  3.9816795350e-02 
 662.000  1.3467203900e+00  4.0446731570e-02 
 663.000  1.3321570300e+00  3.9881271360e-02 
 664.000  1.3104844900e+00  3.9233932500e-02 
 665.000  1.3158258100e+00  3.9370422360e-02 
 666.000  1.3311038400e+00  3.9947288510e-02 
 667.000  1.3042854400e+00  3.9041156770e-02 
 668.000  1.3111459000e+00  3.9358779910e-02 
 669.000  1.3297540500e+00  3.9958923340e-02 
 670.000  1.3137327600e+00  3.9316715240e-02 
 671.000  1.2996471700e+00  3.8904170990e-02 
 672.000  1.2953432800e+00  3.8731941220e-02 
 673.000  1.3045579800e+00  3.8943058010e-02 
 674.000  1.3070242400e+00  3.9003276820e-02 
 675.000  1.2869988900e+00  3.8323505400e-02 
 676.000  1.3112324400e+00  3.9033588410e-02 
 677.000  1.2850953100e+00  3.8250949860e-02 
 678.000  1.3062909600e+00  3.8815563200e-02 
 679.000  1.2878776800e+00  3.8167133330e-02 
 680.000  1.2784353400e+00  3.7840530400e-02 
 681.000  1.2804181700e+00  3.7796844480e-02 
 682.000  1.2779786500e+00  3.7591106410e-02 
 683.000  1.2866617900e+00  3.7717784880e-02 
 684.000  1.2644541700e+00  3.7020339970e-02 
 685.000  1.2781363500e+00  3.7358947750e-02 
 686.000  1.2249340400e+00  3.5384628300e-02 
 687.000  1.2259409000e+00  3.1345104220e-02 
 688.000  1.2268430000e+00  3.2373600010e-02 
 689.000  1.2303878300e+00  3.2232761380e-02 
 690.000  1.2363336800e+00  3.2926876070e-02 
 691.000  1.2412958300e+00  3.3773033140e-02 
 692.000  1.2338223600e+00  3.3916778560e-02 
 693.000  1.2419769600e+00  3.3208560940e-02 
 694.000  1.2556167000e+00  3.2857536320e-02 
 695.000  1.2326253300e+00  3.2644542690e-02 
 696.000  1.2464252300e+00  3.3260440830e-02 
 697.000  1.2453594600e+00  3.4879863740e-02 
 698.000  1.2230727500e+00  3.3799282070e-02 
 699.000  1.2489260100e+00  3.3127765660e-02 
 700.000  1.2339911100e+00  3.2892433170e-02 
 701.000  1.2070792500e+00  3.1822818760e-02 
 702.000  1.2008612600e+00  3.1850708010e-02 
 703.000  1.2154442100e+00  3.3270423890e-02 
 704.000  1.2190160700e+00  3.3426437380e-02 
 705.000  1.2294702500e+00  3.3208446500e-02 
 706.000  1.2163048500e+00  3.2932445530e-02 
 707.000  1.1977681000e+00  3.2588020320e-02 
 708.000  1.2320658700e+00  3.3707275390e-02 
 709.000  1.1876954900e+00  3.2831951140e-02 
 710.000  1.2159779500e+00  3.3113349910e-02 
 711.000  1.2029506800e+00  3.3135288240e-02 
 712.000  1.1855348800e+00  3.3039863590e-02 
 713.000  1.1811315800e+00  3.2565860750e-02 
 714.000  1.2014305600e+00  3.2924938200e-02 
 715.000  1.1603346800e+00  3.1271331790e-02 
 716.000  1.1916058400e+00  3.1573137280e-02 
 717.000  1.1617777100e+00  2.8296152110e-02 
 718.000  1.1556269200e+00  2.6687450410e-02 
 719.000  1.1423233800e+00  2.5773988720e-02 
 720.000  1.1506556900e+00  2.5292619710e-02 
 721.000  1.1489957300e+00  2.8495042800e-02 
 722.000  1.1651213700e+00  3.0006050110e-02 
 723.000  1.1627120300e+00  2.9188840870e-02 
 724.000  1.1697712400e+00  2.7417415620e-02 
 725.000  1.1570029200e+00  2.7377773280e-02 
 726.000  1.1548806300e+00  2.7235013960e-02 
 727.000  1.1719692500e+00  2.7832069400e-02 
 728.000  1.1518373800e+00  2.7106843950e-02 
 729.000  1.1060498600e+00  2.6664735790e-02 
 730.000  1.1469237800e+00  2.7520248410e-02 
 731.000  1.1280174500e+00  2.6995374680e-02 
 732.000  1.1491352700e+00  2.8636831280e-02 
 733.000  1.1312771700e+00  2.9465827940e-02 
 734.000  1.1544847900e+00  3.0662239070e-02 
 735.000  1.1452803600e+00  3.0130491260e-02 
 736.000  1.1242538600e+00  2.9179842000e-02 
 737.000  1.1388480400e+00  2.9802518840e-02 
 738.000  1.1353897700e+00  3.0137496950e-02 
 739.000  1.0985216000e+00  2.9378301620e-02 
 740.000  1.1084985000e+00  3.0073841090e-02 
 741.000  1.0994347600e+00  3.0177120210e-02 
 742.000  1.0812604800e+00  2.9807109830e-02 
 743.000  1.1127157700e+00  3.0973327640e-02 
 744.000  1.1231467200e+00  3.1413827900e-02 
 745.000  1.0938176100e+00  3.0725246430e-02 
 746.000  1.1089475300e+00  3.1183633800e-02 
 747.000  1.1255533500e+00  3.1616926190e-02 
 748.000  1.1053256600e+00  3.1044519420e-02 
 749.000  1.1055223200e+00  3.1066156390e-02 
 750.000  1.0893742100e+00  3.0515966420e-02 
 751.000  1.0865731000e+00  3.0420701980e-02 
 752.000  1.1030349800e+00  3.0928602220e-02 
 753.000  1.0925917900e+00  3.0636566160e-02 
 754.000  1.1096982000e+00  3.1109548570e-02 
 755.000  1.1033303600e+00  3.0915128710e-02 
 756.000  1.0817256500e+00  3.0295032500e-02 
 757.000  1.0897217900e+00  3.0500747680e-02 
 758.000  1.0885920200e+00  3.0383150100e-02 
 759.000  1.0473857000e+00  2.7177015300e-02 
 760.000  8.2401419200e-01  1.2738619800e-02 
 761.000  7.9409525800e-01  1.1530779840e-02 
 762.000  9.2627227700e-01  1.8715875630e-02 
 763.000  9.1140561200e-01  1.6688486100e-02 
 764.000  9.3478890100e-01  1.7946582790e-02 
 765.000  9.8109332500e-01  2.1079675670e-02 
 766.000  9.7279276100e-01  2.3508651730e-02 
 767.000  1.0026721800e+00  2.5485538480e-02 
