 lambda   Irr_dw            Rad_up 
 630.512  1.3818129675e+00  3.3830860488e-02 
 631.338  1.3747345184e+00  3.3740235094e-02 
 632.164  1.3711828162e+00  3.3727311548e-02 
 632.991  1.3716264398e+00  3.3829514486e-02 
 633.817  1.3722985045e+00  3.3944544901e-02 
 634.643  1.3704926009e+00  3.3983412696e-02 
 635.470  1.3682656797e+00  3.3992797923e-02 
 636.296  1.3695855929e+00  3.4079245692e-02 
 637.122  1.3745829403e+00  3.4249295230e-02 
 637.948  1.3780169518e+00  3.4370658135e-02 
 638.775  1.3751036919e+00  3.4328072964e-02 
 639.601  1.3671482077e+00  3.4159192056e-02 
 640.427  1.3594668540e+00  3.3987584964e-02 
 641.253  1.3555940276e+00  3.3881605357e-02 
 642.079  1.3553183783e+00  3.3821301202e-02 
 642.905  1.3564014266e+00  3.3742296929e-02 
 643.732  1.3563481377e+00  3.3563920563e-02 
 644.558  1.3538222952e+00  3.3219092522e-02 
 645.384  1.3498473744e+00  3.2716431792e-02 
 646.210  1.3473652423e+00  3.2182664134e-02 
 647.036  1.3476508589e+00  3.1774955495e-02 
 647.862  1.3473675905e+00  3.1543967951e-02 
 648.688  1.3422860149e+00  3.1438006294e-02 
 649.514  1.3345608542e+00  3.1424737514e-02 
 650.340  1.3317722108e+00  3.1521475984e-02 
 651.166  1.3364642849e+00  3.1695368115e-02 
 651.992  1.3423262076e+00  3.1837761414e-02 
 652.818  1.3408436445e+00  3.1806365420e-02 
 653.644  1.3253990285e+00  3.1426391878e-02 
 654.470  1.2932691504e+00  3.0610716527e-02 
 655.296  1.2531132308e+00  2.9611577079e-02 
 656.122  1.2266050992e+00  2.9007934915e-02 
 656.948  1.2306076129e+00  2.9214026772e-02 
 657.774  1.2589070113e+00  3.0047326018e-02 
 658.599  1.2906024191e+00  3.0967438728e-02 
 659.425  1.3123302026e+00  3.1636714572e-02 
 660.251  1.3240500958e+00  3.2052288604e-02 
 661.077  1.3299926954e+00  3.2305128463e-02 
 661.903  1.3317179045e+00  3.2412581965e-02 
 662.728  1.3292164243e+00  3.2370638950e-02 
 663.554  1.3243168338e+00  3.2245390803e-02 
 664.380  1.3202665152e+00  3.2141568083e-02 
 665.206  1.3182794328e+00  3.2098949032e-02 
 666.031  1.3169521728e+00  3.2079466571e-02 
 666.857  1.3155274227e+00  3.2059641761e-02 
 667.683  1.3150420410e+00  3.2061288691e-02 
 668.508  1.3153546827e+00  3.2071883897e-02 
 669.334  1.3141461215e+00  3.2025942326e-02 
1182.792  4.3028637640e-01  6.2477239918e-03 
1188.701  4.2565566237e-01  6.1870692449e-03 
1194.595  4.2922894921e-01  6.3996359812e-03 
1200.475  4.1800067589e-01  6.1231371908e-03 
1206.341  4.1770007765e-01  6.4274968937e-03 
1212.193  4.1301299160e-01  6.3284266736e-03 
1218.030  4.1269168437e-01  6.7267568989e-03 
1223.854  4.0819926679e-01  6.7925021666e-03 
1229.663  4.0461099771e-01  7.0483514740e-03 
1235.458  4.0038950998e-01  7.1610660004e-03 
1241.240  3.9521590581e-01  7.2001100177e-03 
1247.008  3.9163747928e-01  7.1530456506e-03 
1252.762  3.8568776063e-01  6.8025496939e-03 
1258.503  3.7995379888e-01  6.2582295039e-03 
1264.230  3.7082698699e-01  5.6447459187e-03 
1269.944  3.6768857181e-01  5.6301351181e-03 
1275.644  3.6935345620e-01  5.9362726818e-03 
1281.331  3.4531634061e-01  5.7578700270e-03 
1287.004  3.6208577855e-01  6.0993047656e-03 
1292.665  3.6015956634e-01  5.7825717040e-03 
1298.312  3.5717185624e-01  5.3347118047e-03 
1503.952  2.3805914319e-01  2.4779142308e-03 
1509.148  2.4958850227e-01  2.9566415178e-03 
1514.333  2.4734571806e-01  3.1373070345e-03 
1519.509  2.4673740700e-01  3.1920794634e-03 
1524.675  2.4461882415e-01  3.4142510239e-03 
1529.831  2.4050022557e-01  3.3146544755e-03 
1534.978  2.4049923885e-01  3.1788474056e-03 
1540.114  2.3655949597e-01  3.2932751712e-03 
1545.242  2.3932376247e-01  3.3728189294e-03 
1550.360  2.3504605019e-01  3.3881201065e-03 
1555.468  2.3039823221e-01  3.2634050521e-03 
1560.567  2.3195415131e-01  3.4534695707e-03 
1565.657  2.2729620875e-01  3.2915766385e-03 
1570.738  2.2343904439e-01  3.2280546717e-03 
1575.809  2.1304799615e-01  3.1616188231e-03 
1580.872  2.2026409094e-01  3.1370654929e-03 
1585.926  2.1816668534e-01  3.1998900794e-03 
1590.971  2.1020687270e-01  3.1535684285e-03 
1596.007  2.1540641356e-01  3.2503327276e-03 
1601.035  2.1160674241e-01  3.1840564762e-03 
1606.054  2.1041174501e-01  3.3403409448e-03 
1611.064  2.0503039897e-01  3.1600379793e-03 
1616.066  2.0523077182e-01  3.1110113220e-03 
1621.060  2.0520133741e-01  3.2671950125e-03 
1626.045  2.0879509503e-01  3.3942719107e-03 
1631.023  2.0698198431e-01  3.3774833358e-03 
1635.992  2.0148578531e-01  3.0908182514e-03 
1640.954  1.9346579323e-01  2.8275784208e-03 
1645.907  1.9666905513e-01  3.1104049585e-03 
1650.852  1.9629869090e-01  3.1126561253e-03 
1655.790  1.9635370686e-01  3.1272587746e-03 
1660.720  1.9575323689e-01  3.0859348021e-03 
1665.643  1.9155210902e-01  2.8226654853e-03 
1670.558  1.8982928955e-01  2.9859415601e-03 
1675.466  1.8618464141e-01  3.1650756230e-03 
1680.366  1.7718806436e-01  3.0322505520e-03 
1685.259  1.8287284696e-01  3.0862265498e-03 
1690.145  1.8244711415e-01  2.9599606069e-03 
1695.024  1.8274828200e-01  2.9891229246e-03 
1699.896  1.7976388334e-01  2.7720727945e-03 
